community,size,year_min,year_max,label_llm_comm,summary_llm_comm,top_terms_agg
0,98,2015,2020,,,"為る, 居る, 世界, 令嬢, 成る, 有る, 私-代名詞, 様, 人, 者"
1,87,2009,2015,,,"為る, 世界, 有る, 居る, 成る, 私-代名詞, 物語, 達, 死ぬ, 中"
